Key,日期,科目,項目,金額,備註1,備註2,編輯
2541,2014-01-25,1.現收,分3期,30000,2/5,29250,
2465,2014-01-15,1.現收,分3期,18800,1/21,18330,
2542,2014-01-25,1.現收,分6期,12500,2/5,12063,
2577,2014-01-31,1.現收,刷卡(V-M-J-銀),34780,2/10,34085,
2575,2014-01-30,1.現收,刷卡(V-M-J-銀),20000,2/10,19600,
2565,2014-01-29,1.現收,刷卡(V-M-J-銀),65000,2/10,63700,
2559,2014-01-28,1.現收,刷卡(V-M-J-銀),68939,2/7,67561,
2554,2014-01-27,1.現收,刷卡(V-M-J-銀),7640,2/6,7487,
2550,2014-01-26,1.現收,刷卡(V-M-J-銀),76460,2/6,74931,
2540,2014-01-25,1.現收,刷卡(V-M-J-銀),25900,2/5,25382,
2534,2014-01-24,1.現收,刷卡(V-M-J-銀),79400,2/5,77812,
2528,2014-01-23,1.現收,刷卡(V-M-J-銀),6000,1/29,5880,
2523,2014-01-22,1.現收,刷卡(V-M-J-銀),12450,1/28,12201,
2516,2014-01-21,1.現收,刷卡(V-M-J-銀),11450,1/27,11221,
2506,2014-01-20,1.現收,刷卡(V-M-J-銀),17140,1/24,16798,
2503,2014-01-19,1.現收,刷卡(V-M-J-銀),21200,1/24,20786,
2498,2014-01-18,1.現收,刷卡(V-M-J-銀),50600,1/23,49588,
2492,2014-01-17,1.現收,刷卡(V-M-J-銀),16100,1/23,15778,
2478,2014-01-16,1.現收,刷卡(V-M-J-銀),25900,1/22,25382,
2464,2014-01-15,1.現收,刷卡(V-M-J-銀),17300,1/21,16954,
2458,2014-01-14,1.現收,刷卡(V-M-J-銀),15590,1/20,15279,
2447,2014-01-12,1.現收,刷卡(V-M-J-銀),21300,1/17,20874,
2439,2014-01-11,1.現收,刷卡(V-M-J-銀),25700,1/16,25186,
2435,2014-01-10,1.現收,刷卡(V-M-J-銀),6700,1/16,6566,
2427,2014-01-09,1.現收,刷卡(V-M-J-銀),46430,1/15,45502,
2416,2014-01-08,1.現收,刷卡(V-M-J-銀),11140,1/14,10918,
2392,2014-01-07,1.現收,刷卡(V-M-J-銀),62000,1/13,60760,
2384,2014-01-06,1.現收,刷卡(V-M-J-銀),62650,1/10,61397,
2379,2014-01-05,1.現收,刷卡(V-M-J-銀),45030,1/10,44130,
2361,2014-01-04,1.現收,刷卡(V-M-J-銀),35900,1/9,35182,
2354,2014-01-03,1.現收,刷卡(V-M-J-銀),8450,1/9,8281,
2347,2014-01-02,1.現收,刷卡(V-M-J-銀),2840,1/8,2783,
2342,2014-01-01,1.現收,刷卡(V-M-J-銀),35590,1/8,34879,
2576,2014-01-31,1.現收,耳機現金,72400,,,
2574,2014-01-30,1.現收,耳機現金,69500,,,
2564,2014-01-29,1.現收,耳機現金,163696,,,
2558,2014-01-28,1.現收,耳機現金,129594,,,
2553,2014-01-27,1.現收,耳機現金,145810,,,
2549,2014-01-26,1.現收,耳機現金,48872,,,
2539,2014-01-25,1.現收,耳機現金,119877,,,
2533,2014-01-24,1.現收,耳機現金,71413,,,
2527,2014-01-23,1.現收,耳機現金,67929,,,
2522,2014-01-22,1.現收,耳機現金,30012,,,
2515,2014-01-21,1.現收,耳機現金,40564,,,
2505,2014-01-20,1.現收,耳機現金,90158,,,
2502,2014-01-19,1.現收,耳機現金,174730,,,
2497,2014-01-18,1.現收,耳機現金,91456,,,
2491,2014-01-17,1.現收,耳機現金,42855,,,
2477,2014-01-16,1.現收,耳機現金,30032,,,
2463,2014-01-15,1.現收,耳機現金,36010,,,
2457,2014-01-14,1.現收,耳機現金,44127,,,
2452,2014-01-13,1.現收,耳機現金,45580,,,
2446,2014-01-12,1.現收,耳機現金,27955,,,
